State,Maize,Rice,Sorghum,Millet,Wheat,Barley,Fonio,Oats,Teff
Abia,96620,58290,0,0,0,0,0,0,0
Abuja Federal Capital Territory,454420,415000,132900,57160,0,0,0,0,0
Adamawa,442390,275790,292000,166800,0,0,0,0,0
Akwa Ibom,92040,24020,0,0,0,0,0,0,0
Anambra,109500,99310,0,0,0,0,0,0,0
Bauchi,581010,250080,447200,76610,0,0,0,0,0
Bayelsa,87210,94720,0,0,0,0,0,0,0
Benue,386330,517650,204800,86940,0,0,0,0,0
Borno,626650,189510,347500,78130,0,0,0,0,0
Cross River,112770,163530,0,0,0,0,0,0,0
Delta,163290,50520,0,0,0,0,0,0,0
Ebonyi,167280,145730,0,0,0,0,0,0,0
Edo,159700,137890,0,0,0,0,0,0,0
Ekiti,299460,140470,0,0,0,0,0,0,0
Enugu,182790,94250,14200,0,0,0,0,0,0
Gombe,648790,215080,331300,118730,0,0,0,0,0
Imo,134970,85490,0,0,0,0,0,0,0
Jigawa,332440,215310,351600,71080,0,0,0,0,0
Kaduna,977030,360370,446200,51600,0,0,0,0,0
Kano,357060,438720,618600,88420,0,0,0,0,0
Katsina,362360,220260,357600,153070,0,0,0,0,0
Kebbi,335680,348690,406500,75570,0,0,0,0,0
Kogi,430870,534650,129900,38760,0,0,0,0,0
Kwara,335490,431940,151700,30920,0,0,0,0,0
Lagos,261510,85850,0,0,0,0,0,0,0
Nasarawa,311950,417390,165100,31730,0,0,0,0,0
Niger,700610,629800,549700,113610,0,0,0,0,0
Ogun,286240,93580,0,0,0,0,0,0,0
Ondo,396340,120180,0,0,0,0,0,0,0
Osun,381930,115830,0,0,0,0,0,0,0
Oyo,315820,108600,64900,0,0,0,0,0,0
Plateau,656480,250450,311700,74810,0,0,0,0,0
Rivers,135860,80680,0,0,0,0,0,0,0
Sokoto,260990,163090,376800,188530,0,0,0,0,0
Taraba,605800,388160,340700,93780,0,0,0,0,0
Yobe,302700,160470,271000,245260,0,0,0,0,0
Zamfara,252070,220620,413600,85440,0,0,0,0,0
